draw,gene_id,gene_name,rank,in_top_10
542,dd_Smed_v6_17498_0_1,dd17498,83,False
542,dd_Smed_v6_15473_0_1,dd15473,88,False
542,dd_Smed_v6_10219_0_1,dd10219,65,False
542,dd_Smed_v6_13772_0_1,PROX-1,76,False
542,dd_Smed_v6_20755_0_1,dd20755,89,False
542,dd_Smed_v6_11935_0_1,dd11935,95,False
542,dd_Smed_v6_18972_0_1,dd18972,97,False
542,dd_Smed_v6_6470_0_1,tbx2/3b,96,False
542,dd_Smed_v6_9460_0_2,dd9460,86,False
542,dd_Smed_v6_6778_0_1,dd6778,62,False
542,dd_Smed_v6_14315_0_1,dd14937,85,False
542,dd_Smed_v6_8820_0_1,islet1,81,False
542,dd_Smed_v6_16399_0_1,meis,84,False
542,dd_Smed_v6_19757_0_1,dd19757,91,False
542,dd_Smed_v6_18952_0_1,scratch,99,False
543,dd_Smed_v6_14115_0_1,dd14115,1,True
543,dd_Smed_v6_19890_0_1,dd19890,8,True
543,dd_Smed_v6_13343_0_1,dd13343,3,True
543,dd_Smed_v6_26877_0_1,dd26877,6,True
543,dd_Smed_v6_2946_0_1,dd2946,15,False
543,dd_Smed_v6_38342_0_1,dd38342,2,True
543,dd_Smed_v6_28804_0_1,dd28804,11,False
543,dd_Smed_v6_14712_0_1,dd14712,4,True
543,dd_Smed_v6_22331_0_1,dd22331,19,False
543,dd_Smed_v6_22163_0_1,dd22163,27,False
543,dd_Smed_v6_16472_0_1,dd16472,7,True
543,dd_Smed_v6_31784_0_1,dd31784,16,False
543,dd_Smed_v6_16955_0_1,dd16955,17,False
543,dd_Smed_v6_28888_0_1,dd28888,10,True
543,dd_Smed_v6_18207_0_1,dd18207,9,True
543,dd_Smed_v6_16007_0_1,dd16007,40,False
543,dd_Smed_v6_37930_0_1,dd37930,5,True
543,dd_Smed_v6_31217_0_1,dd31217,32,False
543,dd_Smed_v6_30562_0_1,dd30562,21,False
543,dd_Smed_v6_6626_0_1,dd6626,30,False
543,dd_Smed_v6_14824_0_1,dd14824,31,False
543,dd_Smed_v6_11930_0_1,dd11930,12,False
543,dd_Smed_v6_29211_0_1,dd29211,46,False
543,dd_Smed_v6_34144_0_1,dd34144,26,False
543,dd_Smed_v6_12170_0_1,dd12170,34,False
543,dd_Smed_v6_12722_0_1,dd12722,24,False
543,dd_Smed_v6_35379_0_1,dd35379,41,False
543,dd_Smed_v6_11150_0_1,dd11150,13,False
543,dd_Smed_v6_10320_0_1,dd10320,35,False
543,dd_Smed_v6_36829_0_1,dd36829,37,False
543,dd_Smed_v6_12010_0_1,dd12010,20,False
543,dd_Smed_v6_4048_0_1,dd4048,18,False
543,dd_Smed_v6_12317_0_1,dd12317,23,False
543,dd_Smed_v6_20282_0_1,dd20282,33,False
543,dd_Smed_v6_17324_0_1,dd17324,53,False
543,dd_Smed_v6_14213_0_1,dd14213,14,False
543,dd_Smed_v6_9774_0_1,Six1/2-2,36,False
543,dd_Smed_v6_18125_0_1,dd18125,25,False
543,dd_Smed_v6_13474_0_1,dd13474,68,False
543,dd_Smed_v6_9596_0_1,dd9596,56,False
543,dd_Smed_v6_15253_0_1,pitx,28,False
543,dd_Smed_v6_17476_0_1,dd17476,50,False
543,dd_Smed_v6_7227_0_1,dd7227,43,False
543,dd_Smed_v6_16646_0_1,dd16646,66,False
543,dd_Smed_v6_11893_0_1,dd11893,54,False
543,dd_Smed_v6_33456_0_1,dd33456,67,False
543,dd_Smed_v6_18422_0_1,dd18422,44,False
543,dd_Smed_v6_46523_0,dd46523,29,False
543,dd_Smed_v6_13704_0_1,ptf-4,38,False
543,dd_Smed_v6_33575_0_1,dd33575,45,False
543,dd_Smed_v6_16524_0_1,dd16524,49,False
543,dd_Smed_v6_9287_0_1,dd9287,39,False
543,dd_Smed_v6_14753_0_1,ascl-2,59,False
543,dd_Smed_v6_10911_0_1,dd10911,22,False
543,dd_Smed_v6_13898_0_1,nkx2-like,48,False
543,dd_Smed_v6_7033_0_1,dd7033,55,False
543,dd_Smed_v6_16466_0_1,dd16466,47,False
543,dd_Smed_v6_16124_0_1,runt-1,51,False
543,dd_Smed_v6_14633_0_1,otxA,64,False
543,dd_Smed_v6_37276_0_1,dd37276,58,False
543,dd_Smed_v6_52497_0_1,hmx-1,63,False
543,dd_Smed_v6_1399_0_1,dd1399,65,False
543,dd_Smed_v6_25769_0_1,dd25769,42,False
543,dd_Smed_v6_48430_0_1,ovo,62,False
543,dd_Smed_v6_19286_0_1,dd19286,57,False
543,dd_Smed_v6_15104_0_1,ap2,73,False
543,dd_Smed_v6_49988_0_1,dd49988,79,False
543,dd_Smed_v6_13056_0_1,tcf1,52,False
543,dd_Smed_v6_15555_0_1,pou4l-1,82,False
543,dd_Smed_v6_15144_0_1,lhx2/9,60,False
543,dd_Smed_v6_2442_0_1,dd2442,69,False
543,dd_Smed_v6_8104_0_1,soxB1-2 (not deposited),83,False
543,dd_Smed_v6_10038_0_1,"Schmidtea mediterranea Zeb-1 mRNA, complete cds",77,False
543,dd_Smed_v6_6114_0_1,dd6114,80,False
543,dd_Smed_v6_17731_0_1,sim,61,False
543,dd_Smed_v6_17726_0_1,Pax6A,81,False
543,dd_Smed_v6_38033_0_1,dd38033,78,False
543,dd_Smed_v6_9893_0_1,coe,88,False
543,dd_Smed_v6_18719_0_1,dd18719,76,False
543,dd_Smed_v6_14362_0_1,dd14362,84,False
543,dd_Smed_v6_17534_0_1,arh,96,False
543,dd_Smed_v6_12617_0_1,dd12617,71,False
543,dd_Smed_v6_58909_0_1,gata4/5/6-3,86,False
543,dd_Smed_v6_13215_0_1,soxB,87,False
543,dd_Smed_v6_17498_0_1,dd17498,72,False
543,dd_Smed_v6_15473_0_1,dd15473,85,False
543,dd_Smed_v6_10219_0_1,dd10219,89,False
543,dd_Smed_v6_13772_0_1,PROX-1,99,False
543,dd_Smed_v6_20755_0_1,dd20755,90,False
543,dd_Smed_v6_11935_0_1,dd11935,70,False
543,dd_Smed_v6_18972_0_1,dd18972,75,False
543,dd_Smed_v6_6470_0_1,tbx2/3b,93,False
543,dd_Smed_v6_9460_0_2,dd9460,98,False
543,dd_Smed_v6_6778_0_1,dd6778,92,False
543,dd_Smed_v6_14315_0_1,dd14937,95,False
543,dd_Smed_v6_8820_0_1,islet1,94,False
543,dd_Smed_v6_16399_0_1,meis,74,False
543,dd_Smed_v6_19757_0_1,dd19757,91,False
543,dd_Smed_v6_18952_0_1,scratch,97,False
544,dd_Smed_v6_14115_0_1,dd14115,2,True
544,dd_Smed_v6_19890_0_1,dd19890,1,True
544,dd_Smed_v6_13343_0_1,dd13343,3,True
544,dd_Smed_v6_26877_0_1,dd26877,7,True
544,dd_Smed_v6_2946_0_1,dd2946,6,True
544,dd_Smed_v6_38342_0_1,dd38342,8,True
544,dd_Smed_v6_28804_0_1,dd28804,12,False
544,dd_Smed_v6_14712_0_1,dd14712,30,False
544,dd_Smed_v6_22331_0_1,dd22331,4,True
544,dd_Smed_v6_22163_0_1,dd22163,10,True
544,dd_Smed_v6_16472_0_1,dd16472,5,True
544,dd_Smed_v6_31784_0_1,dd31784,15,False
544,dd_Smed_v6_16955_0_1,dd16955,45,False
544,dd_Smed_v6_28888_0_1,dd28888,50,False
544,dd_Smed_v6_18207_0_1,dd18207,16,False
544,dd_Smed_v6_16007_0_1,dd16007,26,False
544,dd_Smed_v6_37930_0_1,dd37930,20,False
544,dd_Smed_v6_31217_0_1,dd31217,19,False
544,dd_Smed_v6_30562_0_1,dd30562,24,False
544,dd_Smed_v6_6626_0_1,dd6626,13,False
544,dd_Smed_v6_14824_0_1,dd14824,14,False
544,dd_Smed_v6_11930_0_1,dd11930,49,False
544,dd_Smed_v6_29211_0_1,dd29211,11,False
544,dd_Smed_v6_34144_0_1,dd34144,22,False
544,dd_Smed_v6_12170_0_1,dd12170,23,False
544,dd_Smed_v6_12722_0_1,dd12722,31,False
544,dd_Smed_v6_35379_0_1,dd35379,27,False
544,dd_Smed_v6_11150_0_1,dd11150,39,False
544,dd_Smed_v6_10320_0_1,dd10320,38,False
544,dd_Smed_v6_36829_0_1,dd36829,32,False
544,dd_Smed_v6_12010_0_1,dd12010,9,True
544,dd_Smed_v6_4048_0_1,dd4048,25,False
544,dd_Smed_v6_12317_0_1,dd12317,35,False
544,dd_Smed_v6_20282_0_1,dd20282,33,False
544,dd_Smed_v6_17324_0_1,dd17324,34,False
544,dd_Smed_v6_14213_0_1,dd14213,37,False
544,dd_Smed_v6_9774_0_1,Six1/2-2,51,False
544,dd_Smed_v6_18125_0_1,dd18125,28,False
544,dd_Smed_v6_13474_0_1,dd13474,79,False
544,dd_Smed_v6_9596_0_1,dd9596,43,False
